Index: 211006, Points: 92.67
Index: 211001, Points: 92.0
Index: 211101, Points: 92.0
Index: 211022, Points: 92.0
Index: 211136, Points: 90.0
Index: 211097, Points: 90.0
Index: 211198, Points: 90.0
Index: 211012, Points: 90.0
Index: 213135, Points: 90.0
Index: 213010, Points: 90.0
Index: 211026, Points: 89.33
Index: 211036, Points: 88.0
Index: 213280, Points: 88.0
Index: 211199, Points: 88.0
Index: 211068, Points: 88.0
Index: 213008, Points: 88.0
Index: 211140, Points: 88.0
Index: 211047, Points: 88.0
Index: 213266, Points: 88.0
Index: 213004, Points: 88.0
Index: 211011, Points: 88.0
Index: 211262, Points: 88.0
Index: 211015, Points: 88.0
Index: 213204, Points: 88.0
Index: 211221, Points: 88.0
Index: 211208, Points: 88.0
Index: 211034, Points: 88.0
Index: 211541, Points: 88.0
Index: 211585, Points: 88.0
Index: 211539, Points: 88.0
Index: 211102, Points: 86.67
Index: 211234, Points: 86.0
Index: 211027, Points: 86.0
Index: 211088, Points: 86.0
Index: 213098, Points: 86.0
Index: 211005, Points: 86.0
Index: 211070, Points: 86.0
Index: 211255, Points: 86.0
Index: 211158, Points: 86.0
Index: 211045, Points: 86.0
Index: 211092, Points: 86.0
Index: 211051, Points: 86.0
Index: 211046, Points: 86.0
Index: 213024, Points: 86.0
Index: 211104, Points: 86.0
Index: 211017, Points: 86.0
Index: 213132, Points: 86.0
Index: 213011, Points: 86.0
Index: 213159, Points: 86.0
Index: 211146, Points: 86.0
Index: 211547, Points: 86.0
Index: 211558, Points: 86.0
Index: 211066, Points: 85.33
Index: 211064, Points: 85.33
Index: 211172, Points: 84.67
Index: 211503, Points: 84.67
Index: 213123, Points: 84.0
Index: 211073, Points: 84.0
Index: 211119, Points: 84.0
Index: 211008, Points: 84.0
Index: 211205, Points: 84.0
Index: 213188, Points: 84.0
Index: 211261, Points: 84.0
Index: 211107, Points: 84.0
Index: 211033, Points: 84.0
Index: 211116, Points: 84.0
Index: 192070, Points: 84.0
Index: 211196, Points: 84.0
Index: 211067, Points: 84.0
Index: 211223, Points: 84.0
Index: 211236, Points: 84.0
Index: 211023, Points: 84.0
Index: 211098, Points: 84.0
Index: 211162, Points: 84.0
Index: 211076, Points: 84.0
Index: 211041, Points: 84.0
Index: 211264, Points: 84.0
Index: 212029, Points: 84.0
Index: 211080, Points: 84.0
Index: 211174, Points: 84.0
Index: 211055, Points: 84.0
Index: 213133, Points: 84.0
Index: 211184, Points: 84.0
Index: 211025, Points: 84.0
Index: 211058, Points: 84.0
Index: 211533, Points: 84.0
Index: 211513, Points: 84.0
Index: 211582, Points: 84.0
Index: 211502, Points: 84.0
Index: 211115, Points: 83.33
Index: 211284, Points: 83.33
Index: 211181, Points: 83.33
Index: 211028, Points: 83.33
Index: 213270, Points: 83.33
Index: 211072, Points: 83.33
Index: 211075, Points: 83.33
Index: 211187, Points: 82.67
Index: 211035, Points: 82.67
Index: 211137, Points: 82.67
Index: 216139, Points: 82.67
Index: 213020, Points: 82.67
Index: 211059, Points: 82.0
Index: 213171, Points: 82.0
Index: 211056, Points: 82.0
Index: 211084, Points: 82.0
Index: 211232, Points: 82.0
Index: 211217, Points: 82.0
Index: 211103, Points: 82.0
Index: 211031, Points: 82.0
Index: 211009, Points: 82.0
Index: 211069, Points: 82.0
Index: 211032, Points: 82.0
Index: 211267, Points: 82.0
Index: 213172, Points: 82.0
Index: 211157, Points: 82.0
Index: 213013, Points: 82.0
Index: 211206, Points: 82.0
Index: 213051, Points: 82.0
Index: 211105, Points: 82.0
Index: 216140, Points: 82.0
Index: 211118, Points: 82.0
Index: 211110, Points: 82.0
Index: 211121, Points: 82.0
Index: 211244, Points: 82.0
Index: 211065, Points: 82.0
Index: 211019, Points: 82.0
Index: 216048, Points: 81.33
Index: 211213, Points: 81.33
Index: 211269, Points: 80.67
Index: 211178, Points: 80.67
Index: 211021, Points: 80.0
Index: 211029, Points: 80.0
Index: 213189, Points: 80.0
Index: 213178, Points: 80.0
Index: 211282, Points: 80.0
Index: 211209, Points: 80.0
Index: 211079, Points: 80.0
Index: 183099, Points: 80.0
Index: 211134, Points: 80.0
Index: 211193, Points: 80.0
Index: 211078, Points: 80.0
Index: 213087, Points: 80.0
Index: 211165, Points: 80.0
Index: 211241, Points: 80.0
Index: 213200, Points: 80.0
Index: 211077, Points: 80.0
Index: 213211, Points: 80.0
Index: 211180, Points: 80.0
Index: 211517, Points: 80.0
Index: 211509, Points: 80.0
Index: 211512, Points: 80.0
Index: 211087, Points: 79.33
Index: 211125, Points: 79.33
Index: 211220, Points: 79.33
Index: 211083, Points: 79.33
Index: 201015, Points: 79.33
Index: 211007, Points: 78.67
Index: 211557, Points: 78.67
Index: 211251, Points: 78.0
Index: 211185, Points: 78.0
Index: 211276, Points: 78.0
Index: 213114, Points: 78.0
Index: 211161, Points: 78.0
Index: 211230, Points: 78.0
Index: 211100, Points: 78.0
Index: 211060, Points: 78.0
Index: 195122, Points: 78.0
Index: 216044, Points: 78.0
Index: 213296, Points: 78.0
Index: 211020, Points: 78.0
Index: 211247, Points: 78.0
Index: 201052, Points: 78.0
Index: 211163, Points: 78.0
Index: 211299, Points: 78.0
Index: 211151, Points: 78.0
Index: 195085, Points: 78.0
Index: 211177, Points: 78.0
Index: 211039, Points: 78.0
Index: 211095, Points: 78.0
Index: 211018, Points: 78.0
Index: 211572, Points: 78.0
Index: 211260, Points: 77.33
Index: 211202, Points: 77.33
Index: 211086, Points: 77.33
Index: 211561, Points: 77.33
Index: 211287, Points: 77.33
Index: 211571, Points: 77.33
Index: 211108, Points: 76.67
Index: 211126, Points: 76.67
Index: 211229, Points: 76.67
Index: 211117, Points: 76.67
Index: 211235, Points: 76.67
Index: 211257, Points: 76.67
Index: 211090, Points: 76.67
Index: 211593, Points: 76.67
Index: 201028, Points: 76.0
Index: 211132, Points: 76.0
Index: 213086, Points: 76.0
Index: 213027, Points: 76.0
Index: 211131, Points: 76.0
Index: 211525, Points: 76.0
Index: 201162, Points: 76.0
Index: 211511, Points: 76.0
Index: 211569, Points: 76.0
Index: 211590, Points: 75.33
Index: 212104, Points: 74.67
Index: 201023, Points: 74.67
Index: 211248, Points: 74.67
Index: 211054, Points: 74.67
Index: 211538, Points: 74.67
Index: 212044, Points: 74.0
Index: 211004, Points: 74.0
Index: 211268, Points: 74.0
Index: 211238, Points: 74.0
Index: 211127, Points: 74.0
Index: 211286, Points: 74.0
Index: 211156, Points: 74.0
Index: 203090, Points: 74.0
Index: 211545, Points: 74.0
Index: 211188, Points: 73.33
Index: 211239, Points: 73.33
Index: 213034, Points: 73.33
Index: 211245, Points: 73.33
Index: 211258, Points: 73.33
Index: 213191, Points: 73.33
Index: 211154, Points: 73.33
Index: 195045, Points: 73.33
Index: 211071, Points: 72.67
Index: 211274, Points: 72.67
Index: 213137, Points: 72.67
Index: 211171, Points: 72.67
Index: 216126, Points: 72.0
Index: 211063, Points: 72.0
Index: 211164, Points: 72.0
Index: 211135, Points: 72.0
Index: 211010, Points: 72.0
Index: 211227, Points: 72.0
Index: 211016, Points: 72.0
Index: 191270, Points: 72.0
Index: 211524, Points: 72.0
Index: 211240, Points: 71.33
Index: 216092, Points: 71.33
Index: 211228, Points: 71.33
Index: 213277, Points: 70.67
Index: 215085, Points: 70.67
Index: 211168, Points: 70.67
Index: 201158, Points: 70.67
Index: 201252, Points: 70.67
Index: 211120, Points: 70.0
Index: 211143, Points: 70.0
